,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,D02,SYBR,,Unkn,,,28.73,28.73,0.000,,,,0.00000,72.0,
,D03,SYBR,,Unkn,,,28.62,28.62,0.000,,,,0.00000,72.0,
,D04,SYBR,,Unkn,,,27.84,27.84,0.000,,,,0.00000,72.0,
,D05,SYBR,,Unkn,,,27.48,27.48,0.000,,,,0.00000,72.0,
,D06,SYBR,,Unkn,,,26.78,26.78,0.000,,,,0.00000,72.0,
,D07,SYBR,,Unkn,,,28.11,28.11,0.000,,,,0.00000,72.0,
,D08,SYBR,,Unkn,,,27.65,27.65,0.000,,,,0.00000,72.0,
,D09,SYBR,,Unkn,,,27.72,27.72,0.000,,,,0.00000,72.0,
,D10,SYBR,,Unkn,,,27.10,27.10,0.000,,,,0.00000,72.0,
,D11,SYBR,,Unkn,,,26.80,26.80,0.000,,,,0.00000,72.0,
,D12,SYBR,,Unkn,,,27.16,27.16,0.000,,,,0.00000,72.0,
,D13,SYBR,,Unkn,,,25.21,25.21,0.000,,,,0.00000,72.0,
,D14,SYBR,,Unkn,,,25.16,25.16,0.000,,,,0.00000,72.0,
,D15,SYBR,,Unkn,,,25.31,25.31,0.000,,,,0.00000,72.0,
,D16,SYBR,,Unkn,,,25.43,25.43,0.000,,,,0.00000,72.0,
,D17,SYBR,,Unkn,,,25.15,25.15,0.000,,,,0.00000,72.0,
,D18,SYBR,,Unkn,,,25.30,25.30,0.000,,,,0.00000,72.0,
,D19,SYBR,,Unkn,,,30.94,30.94,0.000,,,,0.00000,72.0,
,D20,SYBR,,Unkn,,,31.06,31.06,0.000,,,,0.00000,72.0,
,D21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,D22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,D23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,D24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,E01,SYBR,,Unkn,,,28.72,28.72,0.000,,,,0.00000,72.0,
,E02,SYBR,,Unkn,,,28.39,28.39,0.000,,,,0.00000,72.0,
,E03,SYBR,,Unkn,,,28.01,28.01,0.000,,,,0.00000,72.0,
,E04,SYBR,,Unkn,,,26.24,26.24,0.000,,,,0.00000,72.0,
,E05,SYBR,,Unkn,,,26.23,26.23,0.000,,,,0.00000,72.0,
,E06,SYBR,,Unkn,,,26.64,26.64,0.000,,,,0.00000,72.0,
,E07,SYBR,,Unkn,,,26.41,26.41,0.000,,,,0.00000,72.0,
,E08,SYBR,,Unkn,,,26.37,26.37,0.000,,,,0.00000,72.0,
,E09,SYBR,,Unkn,,,26.53,26.53,0.000,,,,0.00000,72.0,
,E10,SYBR,,Unkn,,,25.97,25.97,0.000,,,,0.00000,72.0,
,E11,SYBR,,Unkn,,,26.04,26.04,0.000,,,,0.00000,72.0,
,E12,SYBR,,Unkn,,,26.06,26.06,0.000,,,,0.00000,72.0,
,E13,SYBR,,Unkn,,,25.22,25.22,0.000,,,,0.00000,72.0,
,E14,SYBR,,Unkn,,,25.11,25.11,0.000,,,,0.00000,72.0,
,E15,SYBR,,Unkn,,,25.29,25.29,0.000,,,,0.00000,72.0,
,E16,SYBR,,Unkn,,,25.17,25.17,0.000,,,,0.00000,72.0,
,E17,SYBR,,Unkn,,,25.16,25.16,0.000,,,,0.00000,72.0,
,E18,SYBR,,Unkn,,,24.81,24.81,0.000,,,,0.00000,72.0,
,E19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,E20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,E21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,E22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,E23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,E24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,F01,SYBR,,Unkn,,,23.64,23.64,0.000,,,,0.00000,72.0,
,F02,SYBR,,Unkn,,,23.77,23.77,0.000,,,,0.00000,72.0,
,F03,SYBR,,Unkn,,,22.66,22.66,0.000,,,,0.00000,72.0,
,F04,SYBR,,Unkn,,,22.02,22.02,0.000,,,,0.00000,72.0,
,F05,SYBR,,Unkn,,,21.87,21.87,0.000,,,,0.00000,72.0,
,F06,SYBR,,Unkn,,,21.45,21.45,0.000,,,,0.00000,72.0,
,F07,SYBR,,Unkn,,,22.99,22.99,0.000,,,,0.00000,72.0,
,F08,SYBR,,Unkn,,,22.81,22.81,0.000,,,,0.00000,72.0,
,F09,SYBR,,Unkn,,,22.63,22.63,0.000,,,,0.00000,72.0,
,F10,SYBR,,Unkn,,,22.18,22.18,0.000,,,,0.00000,72.0,
,F11,SYBR,,Unkn,,,22.29,22.29,0.000,,,,0.00000,72.0,
,F12,SYBR,,Unkn,,,22.28,22.28,0.000,,,,0.00000,72.0,
,F13,SYBR,,Unkn,,,20.24,20.24,0.000,,,,0.00000,72.0,
,F14,SYBR,,Unkn,,,20.04,20.04,0.000,,,,0.00000,72.0,
,F15,SYBR,,Unkn,,,20.09,20.09,0.000,,,,0.00000,72.0,
,F16,SYBR,,Unkn,,,20.37,20.37,0.000,,,,0.00000,72.0,
,F17,SYBR,,Unkn,,,20.11,20.11,0.000,,,,0.00000,72.0,
,F18,SYBR,,Unkn,,,20.44,20.44,0.000,,,,0.00000,72.0,
,F19,SYBR,,Unkn,,,39.33,39.33,0.000,,,,0.00000,72.0,
,F20,SYBR,,Unkn,,,36.48,36.48,0.000,,,,0.00000,72.0,
,F21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,F22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,F23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,F24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,G01,SYBR,,Unkn,,,24.01,24.01,0.000,,,,0.00000,72.0,
,G02,SYBR,,Unkn,,,23.43,23.43,0.000,,,,0.00000,72.0,
,G03,SYBR,,Unkn,,,23.50,23.50,0.000,,,,0.00000,72.0,
,G04,SYBR,,Unkn,,,22.64,22.64,0.000,,,,0.00000,72.0,
,G05,SYBR,,Unkn,,,21.66,21.66,0.000,,,,0.00000,72.0,
,G06,SYBR,,Unkn,,,22.43,22.43,0.000,,,,0.00000,72.0,
,G07,SYBR,,Unkn,,,23.14,23.14,0.000,,,,0.00000,72.0,
,G08,SYBR,,Unkn,,,23.22,23.22,0.000,,,,0.00000,72.0,
,G09,SYBR,,Unkn,,,22.96,22.96,0.000,,,,0.00000,72.0,
,G10,SYBR,,Unkn,,,22.47,22.47,0.000,,,,0.00000,72.0,
,G11,SYBR,,Unkn,,,22.48,22.48,0.000,,,,0.00000,72.0,
,G12,SYBR,,Unkn,,,22.52,22.52,0.000,,,,0.00000,72.0,
,G13,SYBR,,Unkn,,,20.02,20.02,0.000,,,,0.00000,72.0,
,G14,SYBR,,Unkn,,,20.07,20.07,0.000,,,,0.00000,72.0,
,G15,SYBR,,Unkn,,,20.11,20.11,0.000,,,,0.00000,72.0,
,G16,SYBR,,Unkn,,,20.42,20.42,0.000,,,,0.00000,72.0,
,G17,SYBR,,Unkn,,,20.46,20.46,0.000,,,,0.00000,72.0,
,G18,SYBR,,Unkn,,,20.22,20.22,0.000,,,,0.00000,72.0,
,G19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,G20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,G21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,G22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,G23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,G24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H01,SYBR,,Unkn,,,30.83,30.83,0.000,,,,0.00000,72.0,
,H02,SYBR,,Unkn,,,30.53,30.53,0.000,,,,0.00000,72.0,
,H03,SYBR,,Unkn,,,30.47,30.47,0.000,,,,0.00000,72.0,
,H04,SYBR,,Unkn,,,29.23,29.23,0.000,,,,0.00000,72.0,
,H05,SYBR,,Unkn,,,29.48,29.48,0.000,,,,0.00000,72.0,
,H06,SYBR,,Unkn,,,29.12,29.12,0.000,,,,0.00000,72.0,
,H07,SYBR,,Unkn,,,29.82,29.82,0.000,,,,0.00000,72.0,
,H08,SYBR,,Unkn,,,30.01,30.01,0.000,,,,0.00000,72.0,
,H09,SYBR,,Unkn,,,29.95,29.95,0.000,,,,0.00000,72.0,
,H10,SYBR,,Unkn,,,30.17,30.17,0.000,,,,0.00000,72.0,
,H11,SYBR,,Unkn,,,30.10,30.10,0.000,,,,0.00000,72.0,
,H12,SYBR,,Unkn,,,29.54,29.54,0.000,,,,0.00000,72.0,
,H13,SYBR,,Unkn,,,26.34,26.34,0.000,,,,0.00000,72.0,
,H14,SYBR,,Unkn,,,26.45,26.45,0.000,,,,0.00000,72.0,
,H15,SYBR,,Unkn,,,26.49,26.49,0.000,,,,0.00000,72.0,
,H16,SYBR,,Unkn,,,26.90,26.90,0.000,,,,0.00000,72.0,
,H17,SYBR,,Unkn,,,26.99,26.99,0.000,,,,0.00000,72.0,
,H18,SYBR,,Unkn,,,27.03,27.03,0.000,,,,0.00000,72.0,
,H19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
