,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,N11,SYBR,,Unkn,,,23.05,23.05,0.000,,,,0.00000,72.0,
,N12,SYBR,,Unkn,,,23.39,23.39,0.000,,,,0.00000,72.0,
,N13,SYBR,,Unkn,,,24.40,24.40,0.000,,,,0.00000,72.0,
,N14,SYBR,,Unkn,,,24.09,24.09,0.000,,,,0.00000,72.0,
,N15,SYBR,,Unkn,,,24.00,24.00,0.000,,,,0.00000,72.0,
,N16,SYBR,,Unkn,,,24.30,24.30,0.000,,,,0.00000,72.0,
,N17,SYBR,,Unkn,,,24.10,24.10,0.000,,,,0.00000,72.0,
,N18,SYBR,,Unkn,,,23.85,23.85,0.000,,,,0.00000,72.0,
,N19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,N20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,N21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,N22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,N23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,N24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,O01,SYBR,,Unkn,,,31.66,31.66,0.000,,,,0.00000,72.0,
,O02,SYBR,,Unkn,,,32.09,32.09,0.000,,,,0.00000,72.0,
,O03,SYBR,,Unkn,,,31.25,31.25,0.000,,,,0.00000,72.0,
,O04,SYBR,,Unkn,,,32.43,32.43,0.000,,,,0.00000,72.0,
,O05,SYBR,,Unkn,,,32.15,32.15,0.000,,,,0.00000,72.0,
,O06,SYBR,,Unkn,,,32.41,32.41,0.000,,,,0.00000,72.0,
,O07,SYBR,,Unkn,,,30.96,30.96,0.000,,,,0.00000,72.0,
,O08,SYBR,,Unkn,,,31.72,31.72,0.000,,,,0.00000,72.0,
,O09,SYBR,,Unkn,,,30.86,30.86,0.000,,,,0.00000,72.0,
,O10,SYBR,,Unkn,,,30.57,30.57,0.000,,,,0.00000,72.0,
,O11,SYBR,,Unkn,,,30.67,30.67,0.000,,,,0.00000,72.0,
,O12,SYBR,,Unkn,,,31.04,31.04,0.000,,,,0.00000,72.0,
,O13,SYBR,,Unkn,,,31.18,31.18,0.000,,,,0.00000,72.0,
,O14,SYBR,,Unkn,,,30.73,30.73,0.000,,,,0.00000,72.0,
,O15,SYBR,,Unkn,,,31.24,31.24,0.000,,,,0.00000,72.0,
,O16,SYBR,,Unkn,,,31.21,31.21,0.000,,,,0.00000,72.0,
,O17,SYBR,,Unkn,,,30.78,30.78,0.000,,,,0.00000,72.0,
,O18,SYBR,,Unkn,,,31.10,31.10,0.000,,,,0.00000,72.0,
,O19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,O20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,O21,SYBR,,Unkn,,,39.08,39.08,0.000,,,,0.00000,72.0,
,O22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,O23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,O24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,P01,SYBR,,Unkn,,,26.10,26.10,0.000,,,,0.00000,72.0,
,P02,SYBR,,Unkn,,,26.02,26.02,0.000,,,,0.00000,72.0,
,P03,SYBR,,Unkn,,,27.79,27.79,0.000,,,,0.00000,72.0,
,P04,SYBR,,Unkn,,,28.32,28.32,0.000,,,,0.00000,72.0,
,P05,SYBR,,Unkn,,,28.19,28.19,0.000,,,,0.00000,72.0,
,P06,SYBR,,Unkn,,,27.46,27.46,0.000,,,,0.00000,72.0,
,P07,SYBR,,Unkn,,,27.65,27.65,0.000,,,,0.00000,72.0,
,P08,SYBR,,Unkn,,,27.57,27.57,0.000,,,,0.00000,72.0,
,P09,SYBR,,Unkn,,,27.23,27.23,0.000,,,,0.00000,72.0,
,P10,SYBR,,Unkn,,,27.06,27.06,0.000,,,,0.00000,72.0,
,P11,SYBR,,Unkn,,,27.15,27.15,0.000,,,,0.00000,72.0,
,P12,SYBR,,Unkn,,,27.05,27.05,0.000,,,,0.00000,72.0,
,P13,SYBR,,Unkn,,,27.56,27.56,0.000,,,,0.00000,72.0,
,P14,SYBR,,Unkn,,,27.53,27.53,0.000,,,,0.00000,72.0,
,P15,SYBR,,Unkn,,,27.21,27.21,0.000,,,,0.00000,72.0,
,P16,SYBR,,Unkn,,,28.07,28.07,0.000,,,,0.00000,72.0,
,P17,SYBR,,Unkn,,,27.39,27.39,0.000,,,,0.00000,72.0,
,P18,SYBR,,Unkn,,,27.43,27.43,0.000,,,,0.00000,72.0,
,P19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,P20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,P21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,P22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,P23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,P24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
