,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,D02,SYBR,,Unkn,,,26.84,26.84,0.000,,,,0.00000,72.0,
,D03,SYBR,,Unkn,,,26.90,26.90,0.000,,,,0.00000,72.0,
,D04,SYBR,,Unkn,,,27.43,27.43,0.000,,,,0.00000,72.0,
,D05,SYBR,,Unkn,,,26.72,26.72,0.000,,,,0.00000,72.0,
,D06,SYBR,,Unkn,,,25.70,25.70,0.000,,,,0.00000,72.0,
,D07,SYBR,,Unkn,,,25.71,25.71,0.000,,,,0.00000,72.0,
,D08,SYBR,,Unkn,,,25.08,25.08,0.000,,,,0.00000,72.0,
,D09,SYBR,,Unkn,,,25.55,25.55,0.000,,,,0.00000,72.0,
,D10,SYBR,,Unkn,,,24.40,24.40,0.000,,,,0.00000,72.0,
,D11,SYBR,,Unkn,,,24.34,24.34,0.000,,,,0.00000,72.0,
,D12,SYBR,,Unkn,,,24.14,24.14,0.000,,,,0.00000,72.0,
,D13,SYBR,,Unkn,,,26.04,26.04,0.000,,,,0.00000,72.0,
,D14,SYBR,,Unkn,,,26.13,26.13,0.000,,,,0.00000,72.0,
,D15,SYBR,,Unkn,,,26.00,26.00,0.000,,,,0.00000,72.0,
,D16,SYBR,,Unkn,,,26.72,26.72,0.000,,,,0.00000,72.0,
,D17,SYBR,,Unkn,,,26.02,26.02,0.000,,,,0.00000,72.0,
,D18,SYBR,,Unkn,,,26.30,26.30,0.000,,,,0.00000,72.0,
,D19,SYBR,,Unkn,,,38.00,38.00,0.000,,,,0.00000,72.0,
,D20,SYBR,,Unkn,,,37.44,37.44,0.000,,,,0.00000,72.0,
,D21,SYBR,,Unkn,,,37.61,37.61,0.000,,,,0.00000,72.0,
,D22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,D23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,D24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,E01,SYBR,,Unkn,,,26.50,26.50,0.000,,,,0.00000,72.0,
,E02,SYBR,,Unkn,,,26.42,26.42,0.000,,,,0.00000,72.0,
,E03,SYBR,,Unkn,,,26.22,26.22,0.000,,,,0.00000,72.0,
,E04,SYBR,,Unkn,,,25.57,25.57,0.000,,,,0.00000,72.0,
,E05,SYBR,,Unkn,,,25.66,25.66,0.000,,,,0.00000,72.0,
,E06,SYBR,,Unkn,,,25.99,25.99,0.000,,,,0.00000,72.0,
,E07,SYBR,,Unkn,,,26.09,26.09,0.000,,,,0.00000,72.0,
,E08,SYBR,,Unkn,,,25.90,25.90,0.000,,,,0.00000,72.0,
,E09,SYBR,,Unkn,,,25.80,25.80,0.000,,,,0.00000,72.0,
,E10,SYBR,,Unkn,,,26.06,26.06,0.000,,,,0.00000,72.0,
,E11,SYBR,,Unkn,,,25.73,25.73,0.000,,,,0.00000,72.0,
,E12,SYBR,,Unkn,,,25.49,25.49,0.000,,,,0.00000,72.0,
,E13,SYBR,,Unkn,,,24.81,24.81,0.000,,,,0.00000,72.0,
,E14,SYBR,,Unkn,,,24.86,24.86,0.000,,,,0.00000,72.0,
,E15,SYBR,,Unkn,,,25.51,25.51,0.000,,,,0.00000,72.0,
,E16,SYBR,,Unkn,,,25.52,25.52,0.000,,,,0.00000,72.0,
,E17,SYBR,,Unkn,,,25.30,25.30,0.000,,,,0.00000,72.0,
,E18,SYBR,,Unkn,,,25.23,25.23,0.000,,,,0.00000,72.0,
,E19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,E20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,E21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,E22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,E23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,E24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,F01,SYBR,,Unkn,,,22.57,22.57,0.000,,,,0.00000,72.0,
,F02,SYBR,,Unkn,,,22.72,22.72,0.000,,,,0.00000,72.0,
,F03,SYBR,,Unkn,,,21.06,21.06,0.000,,,,0.00000,72.0,
,F04,SYBR,,Unkn,,,21.38,21.38,0.000,,,,0.00000,72.0,
,F05,SYBR,,Unkn,,,21.83,21.83,0.000,,,,0.00000,72.0,
,F06,SYBR,,Unkn,,,21.14,21.14,0.000,,,,0.00000,72.0,
,F07,SYBR,,Unkn,,,21.01,21.01,0.000,,,,0.00000,72.0,
,F08,SYBR,,Unkn,,,20.68,20.68,0.000,,,,0.00000,72.0,
,F09,SYBR,,Unkn,,,20.69,20.69,0.000,,,,0.00000,72.0,
,F10,SYBR,,Unkn,,,20.32,20.32,0.000,,,,0.00000,72.0,
,F11,SYBR,,Unkn,,,20.33,20.33,0.000,,,,0.00000,72.0,
,F12,SYBR,,Unkn,,,20.27,20.27,0.000,,,,0.00000,72.0,
,F13,SYBR,,Unkn,,,20.85,20.85,0.000,,,,0.00000,72.0,
,F14,SYBR,,Unkn,,,20.68,20.68,0.000,,,,0.00000,72.0,
,F15,SYBR,,Unkn,,,21.19,21.19,0.000,,,,0.00000,72.0,
,F16,SYBR,,Unkn,,,21.72,21.72,0.000,,,,0.00000,72.0,
,F17,SYBR,,Unkn,,,21.55,21.55,0.000,,,,0.00000,72.0,
,F18,SYBR,,Unkn,,,21.60,21.60,0.000,,,,0.00000,72.0,
,F19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,F20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,F21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,F22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,F23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,F24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,G01,SYBR,,Unkn,,,22.94,22.94,0.000,,,,0.00000,72.0,
,G02,SYBR,,Unkn,,,22.12,22.12,0.000,,,,0.00000,72.0,
,G03,SYBR,,Unkn,,,22.40,22.40,0.000,,,,0.00000,72.0,
,G04,SYBR,,Unkn,,,22.92,22.92,0.000,,,,0.00000,72.0,
,G05,SYBR,,Unkn,,,22.01,22.01,0.000,,,,0.00000,72.0,
,G06,SYBR,,Unkn,,,22.26,22.26,0.000,,,,0.00000,72.0,
,G07,SYBR,,Unkn,,,21.13,21.13,0.000,,,,0.00000,72.0,
,G08,SYBR,,Unkn,,,21.27,21.27,0.000,,,,0.00000,72.0,
,G09,SYBR,,Unkn,,,21.14,21.14,0.000,,,,0.00000,72.0,
,G10,SYBR,,Unkn,,,20.59,20.59,0.000,,,,0.00000,72.0,
,G11,SYBR,,Unkn,,,20.65,20.65,0.000,,,,0.00000,72.0,
,G12,SYBR,,Unkn,,,21.04,21.04,0.000,,,,0.00000,72.0,
,G13,SYBR,,Unkn,,,21.51,21.51,0.000,,,,0.00000,72.0,
,G14,SYBR,,Unkn,,,21.57,21.57,0.000,,,,0.00000,72.0,
,G15,SYBR,,Unkn,,,21.57,21.57,0.000,,,,0.00000,72.0,
,G16,SYBR,,Unkn,,,22.15,22.15,0.000,,,,0.00000,72.0,
,G17,SYBR,,Unkn,,,22.02,22.02,0.000,,,,0.00000,72.0,
,G18,SYBR,,Unkn,,,22.10,22.10,0.000,,,,0.00000,72.0,
,G19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,G20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,G21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,G22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,G23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,G24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H01,SYBR,,Unkn,,,29.85,29.85,0.000,,,,0.00000,72.0,
,H02,SYBR,,Unkn,,,29.47,29.47,0.000,,,,0.00000,72.0,
,H03,SYBR,,Unkn,,,30.22,30.22,0.000,,,,0.00000,72.0,
,H04,SYBR,,Unkn,,,30.22,30.22,0.000,,,,0.00000,72.0,
,H05,SYBR,,Unkn,,,29.45,29.45,0.000,,,,0.00000,72.0,
,H06,SYBR,,Unkn,,,29.81,29.81,0.000,,,,0.00000,72.0,
,H07,SYBR,,Unkn,,,28.64,28.64,0.000,,,,0.00000,72.0,
,H08,SYBR,,Unkn,,,28.40,28.40,0.000,,,,0.00000,72.0,
,H09,SYBR,,Unkn,,,28.02,28.02,0.000,,,,0.00000,72.0,
,H10,SYBR,,Unkn,,,28.24,28.24,0.000,,,,0.00000,72.0,
,H11,SYBR,,Unkn,,,28.32,28.32,0.000,,,,0.00000,72.0,
,H12,SYBR,,Unkn,,,28.02,28.02,0.000,,,,0.00000,72.0,
,H13,SYBR,,Unkn,,,28.62,28.62,0.000,,,,0.00000,72.0,
,H14,SYBR,,Unkn,,,28.74,28.74,0.000,,,,0.00000,72.0,
,H15,SYBR,,Unkn,,,28.67,28.67,0.000,,,,0.00000,72.0,
,H16,SYBR,,Unkn,,,29.57,29.57,0.000,,,,0.00000,72.0,
,H17,SYBR,,Unkn,,,29.00,29.00,0.000,,,,0.00000,72.0,
,H18,SYBR,,Unkn,,,29.33,29.33,0.000,,,,0.00000,72.0,
,H19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,I01,SYBR,,Unkn,,,37.37,37.37,0.000,,,,0.00000,72.0,
,I02,SYBR,,Unkn,,,36.51,36.51,0.000,,,,0.00000,72.0,
,I03,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,I04,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,I05,SYBR,,Unkn,,,34.98,34.98,0.000,,,,0.00000,72.0,
,I06,SYBR,,Unkn,,,37.10,37.10,0.000,,,,0.00000,72.0,
,I07,SYBR,,Unkn,,,34.60,34.60,0.000,,,,0.00000,72.0,
,I08,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,I09,SYBR,,Unkn,,,35.15,35.15,0.000,,,,0.00000,72.0,
,I10,SYBR,,Unkn,,,34.22,34.22,0.000,,,,0.00000,72.0,
,I11,SYBR,,Unkn,,,34.63,34.63,0.000,,,,0.00000,72.0,
,I12,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,I13,SYBR,,Unkn,,,35.20,35.20,0.000,,,,0.00000,72.0,
,I14,SYBR,,Unkn,,,35.63,35.63,0.000,,,,0.00000,72.0,
,I15,SYBR,,Unkn,,,35.26,35.26,0.000,,,,0.00000,72.0,
,I16,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,I17,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,I18,SYBR,,Unkn,,,36.10,36.10,0.000,,,,0.00000,72.0,
,I19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,I20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,I21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,I22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,I23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,I24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,J01,SYBR,,Unkn,,,26.97,26.97,0.000,,,,0.00000,72.0,
,J02,SYBR,,Unkn,,,27.68,27.68,0.000,,,,0.00000,72.0,
,J03,SYBR,,Unkn,,,27.06,27.06,0.000,,,,0.00000,72.0,
,J04,SYBR,,Unkn,,,26.15,26.15,0.000,,,,0.00000,72.0,
,J05,SYBR,,Unkn,,,26.32,26.32,0.000,,,,0.00000,72.0,
,J06,SYBR,,Unkn,,,25.93,25.93,0.000,,,,0.00000,72.0,
,J07,SYBR,,Unkn,,,28.02,28.02,0.000,,,,0.00000,72.0,
,J08,SYBR,,Unkn,,,27.38,27.38,0.000,,,,0.00000,72.0,
,J09,SYBR,,Unkn,,,27.82,27.82,0.000,,,,0.00000,72.0,
,J10,SYBR,,Unkn,,,26.66,26.66,0.000,,,,0.00000,72.0,
,J11,SYBR,,Unkn,,,26.60,26.60,0.000,,,,0.00000,72.0,
,J12,SYBR,,Unkn,,,26.57,26.57,0.000,,,,0.00000,72.0,
,J13,SYBR,,Unkn,,,27.73,27.73,0.000,,,,0.00000,72.0,
,J14,SYBR,,Unkn,,,26.80,26.80,0.000,,,,0.00000,72.0,
,J15,SYBR,,Unkn,,,27.10,27.10,0.000,,,,0.00000,72.0,
